user@gmail.com#user2@gmail.com#cdcd#01/12/2024 16:01#cdc#true
user@gmail.com#user@gmail.com#user@gmail.com#01/12/2024 16:13#user@gmail.com#true
user@gmail.com#user2@gmail.com#ciao#01/12/2024 16:18#ciao#true
user@gmail.com#user@gmail.com#user@gmail.com#01/12/2024 16:22#user@gmail.com#true
user@gmail.com#user@gmail.com#user@gmail.com#01/12/2024 16:23#user@gmail.com#true
user@gmail.com#user@gmail.com#user@gmail.com#01/12/2024 16:25#user@gmail.com#true
user@gmail.com#user2@gmail.com#ciao#01/12/2024 16:25#ccc#true
user@gmail.com#user@gmail.com#user@gmail.com#01/12/2024 16:29#user@gmail.com#true
user@gmail.com#user2@gmail.com#user@gmail.com#01/12/2024 16:29#user@gmail.com#true
user@gmail.com#user2@gmail.com#user@gmail.com#01/12/2024 16:52#user@gmail.com#true
user3@gmail.com#user2@gmail.com#user3@gmail.com#01/12/2024 16:55#user3@gmail.com#true
user2@gmail.com#user2@gmail.com#user2@gmail.com#02/12/2024 16:45#v#true
user@gmail.com#user@gmail.com#user@gmail.com#08/12/2024 13:20#user@gmail.com#true
